Date,Total_PnL,Total_Volume_USD,Unique_Traders,Total_Trades,FGI_Value,Sentiment
2024-12-21,31641.135548,1658921.33,5,505,73,Greed
2024-12-22,0.0,132826.01,2,4,73,Greed
2024-12-23,33290.456749000004,792556.24,7,176,70,Greed
2024-12-24,2084.697411,1042464.75,4,47,73,Greed
2024-12-25,0.0,98676.20999999999,2,4,73,Greed
2024-12-26,17988.646413,560846.07,3,84,79,Greed
2024-12-27,0.0,126737.57,2,24,74,Greed
2024-12-28,16.912182,192219.16,3,44,72,Greed
2024-12-29,390.062046,149682.29,2,28,73,Greed
2024-12-30,4235.298688000001,682616.37,3,62,65,Greed
2024-12-31,2301.21954,492219.79,1,47,64,Greed
2025-01-01,0.0,51003.520000000004,2,6,66,Greed
2025-01-02,5829.905466,613866.37,4,81,70,Greed
2025-01-03,3084.287743,509357.26,3,72,74,Greed
2025-01-04,1659.7995640000001,135756.88,4,36,73,Greed
2025-01-05,1846.8860750000001,403448.3,4,61,72,Greed
2025-01-06,3856.893171,436534.36,3,142,76,Greed
2025-01-07,11206.706221,1106930.26,2,271,78,Greed
2025-01-08,3710.36178,586042.01,4,93,70,Greed
2025-01-09,10647.977,44602.54,2,5,69,Greed
2025-01-10,-36229.641811,5895084.66,1,219,50,Neutral
2025-01-11,1559.841529,1562606.06,2,109,69,Greed
2025-01-12,736.621517,1865292.07,2,87,62,Greed
2025-01-13,5701.711473,2614196.39,4,183,61,Greed
2025-01-14,1983.485278,674016.0,2,51,63,Greed
2025-01-15,12853.281673,1664134.82,3,86,70,Greed
2025-01-16,6067.707941000001,2803362.7399999998,3,153,75,Greed
2025-01-17,5304.377011,682217.17,2,38,75,Greed
2025-01-18,9270.283828,2433187.37,5,238,77,Greed
2025-01-19,83357.132757,7816495.62,5,692,77,Greed
2025-01-20,63895.782801,6996512.18,6,682,76,Greed
2025-01-21,5950.674575,1388491.91,2,144,76,Greed
2025-01-22,3520.518345,1345111.74,3,207,84,Greed
2025-01-23,25995.742985,1700876.57,4,178,75,Greed
2025-01-24,6941.28002,1385126.6099999999,5,522,75,Greed
2025-01-25,4667.601253,685648.65,5,126,75,Greed
2025-01-26,38557.643499,1024096.18,2,178,73,Greed
2025-01-27,2582.715893,897322.35,7,214,71,Greed
2025-01-28,9524.368655,308356.65,3,163,72,Greed
2025-01-29,45.381082,133856.74,3,122,72,Greed
2025-01-30,19848.012889,2520299.05,5,608,70,Greed
2025-01-31,7191.753947,1305258.26,3,289,76,Greed
2025-02-01,26223.794232,874630.5,5,246,68,Greed
2025-02-02,152114.158803,4707926.88,6,701,60,Greed
2025-02-03,162736.656137,21189551.41,4,1456,44,Fear
2025-02-04,409279.657585,14280778.38,6,1382,72,Greed
2025-02-05,60902.899253,7057148.01,5,784,54,Neutral
2025-02-06,53669.013134,1633447.89,4,669,49,Neutral
2025-02-07,13786.764703,1370916.22,5,375,44,Fear
2025-02-08,235.47104,245364.13,3,15,44,Fear
2025-02-09,149442.309584,2698214.31,5,385,46,Neutral
2025-02-10,58146.232828,3003837.11,6,241,43,Fear
2025-02-11,-9829.955829,2404911.61,6,523,47,Neutral
2025-02-12,17485.895642,3895742.74,6,793,46,Neutral
2025-02-13,6594.238584,909137.04,4,334,50,Neutral
2025-02-14,198068.783167,2406657.37,8,767,48,Neutral
2025-02-15,4346.743973,601606.01,4,67,50,Neutral
2025-02-16,889.161157,481258.65,4,116,54,Neutral
2025-02-17,1268.4574440000001,1577312.36,3,439,51,Neutral
2025-02-18,82441.438865,1861247.27,5,625,47,Neutral
2025-02-19,7664.313329,2093098.06,4,485,44,Fear
2025-02-20,38819.251445,2723455.25,4,623,49,Neutral
2025-02-21,102532.397121,2371034.43,7,610,55,Greed
2025-02-22,8352.806906,2001401.77,4,353,49,Neutral
2025-02-23,10044.983626,794879.73,4,284,50,Neutral
2025-02-24,46087.449033,9362920.43,6,4571,49,Neutral
2025-02-25,199696.295221,14976752.0,8,3854,25,Fear
2025-02-26,37122.557306,3722432.49,4,583,21,Fear
2025-02-27,8517.7655,41853.09,2,23,10,Fear
2025-02-28,130987.5,1471509.55,3,110,16,Fear
2025-03-01,9482.221441,145439.9,2,59,20,Fear
2025-03-02,22869.80529,1209800.95,3,63,26,Fear
2025-03-03,554469.014997,6070410.1,5,880,33,Fear
2025-03-04,173965.879955,6129283.66,6,940,15,Fear
2025-03-05,230603.801722,6454227.4,5,1137,20,Fear
2025-03-06,4367.242156,1523685.37,4,211,25,Fear
2025-03-07,90679.466265,4377066.68,5,947,34,Fear
2025-03-08,17473.115371,512381.42,6,238,28,Fear
2025-03-09,3419.205996,1204638.86,5,440,27,Fear
2025-03-10,7995.293132000001,6346737.96,6,945,20,Fear
2025-03-11,-19426.117029,6159066.32,7,2311,24,Fear
2025-03-12,293234.208015,8957541.62,5,3038,34,Fear
2025-03-13,3738.3624320000004,893460.3099999999,5,112,45,Neutral
2025-03-14,66559.00085,4540590.22,4,2018,27,Fear
2025-03-15,75369.725117,268302.64,4,67,46,Neutral
2025-03-16,68.893927,856619.67,3,146,30,Fear
2025-03-17,7066.215779,1131600.8,5,346,32,Fear
2025-03-18,68890.59799,957809.52,6,128,34,Fear
2025-03-19,20122.495172,2355650.02,5,425,32,Fear
2025-03-20,5336.321512,389314.83999999997,5,146,49,Neutral
2025-03-21,0.0,180004.35,1,6,31,Fear
2025-03-22,4520.92947,361074.3,2,87,32,Fear
2025-03-23,134.82844,40134.54,1,10,30,Fear
2025-03-24,45351.572915,882896.8200000001,5,125,45,Neutral
2025-03-25,738.445836,382221.82,4,50,46,Neutral
2025-03-26,6175.693754,836785.97,6,173,47,Neutral
2025-03-27,23800.189789,2090222.74,5,308,40,Fear
2025-03-28,2812.4077939999997,1069537.46,6,369,44,Fear
2025-03-29,-4164.592801,1870620.66,5,795,26,Fear
2025-03-30,3.492534,1063685.46,2,360,32,Fear
2025-03-31,4067.911999,1167842.64,5,281,34,Fear
2025-04-01,1534.8020319999998,348268.22000000003,3,47,34,Fear
2025-04-02,188440.462883,2917170.6,4,789,44,Fear
2025-04-03,6187.240167,5236686.29,7,1033,25,Fear
2025-04-04,16593.740766,1274075.53,4,498,28,Fear
2025-04-05,2441.479757,436817.09,3,59,30,Fear
2025-04-06,4605.577928,1771579.28,5,586,34,Fear
2025-04-07,-27270.190584,2938746.91,8,502,23,Fear
2025-04-08,25747.265104,2777868.13,6,307,24,Fear
2025-04-09,-6765.930387999999,2855203.1999999997,7,364,18,Fear
2025-04-10,37708.824497,8891929.03,5,394,39,Fear
2025-04-11,8490.55473,2587928.89,6,103,25,Fear
2025-04-12,398996.948591,52254963.06,10,1466,43,Fear
2025-04-13,8043.192541,9163398.86,6,338,45,Neutral
2025-04-14,17995.009275,9063069.4,5,305,31,Fear
2025-04-15,48510.968923,18601861.01,6,832,38,Fear
2025-04-16,57757.263262,35131699.79,7,1139,29,Fear
2025-04-17,1579.707825,1129474.05,4,244,30,Fear
2025-04-18,44823.972322,23015578.75,6,1186,33,Fear
2025-04-19,64926.588321,28113183.7,7,1326,32,Fear
2025-04-20,16370.26819,9322970.96,6,951,37,Fear
2025-04-21,31086.510405999994,40517117.43,7,1143,39,Fear
2025-04-22,76426.431186,26536523.1,6,831,47,Neutral
2025-04-23,38850.135167,13576458.3,7,989,72,Greed
2025-04-24,41206.056841,33184425.27,6,1492,63,Greed
2025-04-25,19008.012331,26858543.3,7,1079,60,Greed
2025-04-26,-808.4183190000001,11453942.58,6,907,65,Greed
2025-04-27,504.774376,230062.85,3,163,61,Greed
2025-04-28,38702.572171,25130437.07,3,697,54,Neutral
2025-04-29,117761.291571,32038427.95,3,1047,60,Greed
2025-04-30,10470.606956,11826798.95,4,601,56,Greed
2025-05-01,165470.937007,8130498.46,5,667,53,Neutral
